"Running average electives"
"14,954712058046425"
"302,0839829965718"
"301,4528595429711"
"300,88280607642076"
"300,3134943963471"
"299,77286069836447"
"299,20351380608474"
"298,5733611231479"
"298,0096508667413"
"297,4482858984598"
"296,9140732491725"
"296,36181247886674"
"295,854444597637"
"295,33375050459176"
"294,8507613192419"
"294,3542732623106"
"296,5852647049253"
"298,79507136005714"
"301,0395344283707"
"303,2414225684513"
"305,4895154783601"
"307,6462720229452"
"309,69921923173484"
"311,7707520580741"
"313,77394561372535"
"315,76132412753634"
"317,70520851761637"
"319,64877362425864"
"321,56390582585095"
"323,46058027900324"
"325,539945809398"
"327,5592649112636"
"329,6045412030817"
"331,62606291215803"
"333,69899828366874"
"335,78742529914626"
"337,8617397477264"
"339,9672508689907"
"340,11241278130785"
"340,31678541836567"
"340,51539447918327"
"340,7407343973262"
"340,9470203762629"
"341,1771540688514"
"341,3979168049028"
"343,5284737507174"
"345,6014757784044"
"347,72118737419765"
"349,8218593705337"
"351,93310935359085"
"353,9873633241296"
"356,0469487263452"
"358,08054503364025"
"360,0364514988703"
"361,9721487434504"
"363,81898922218727"
"365,68240543962776"
"367,52295625740584"
"369,349201249436"
"371,1358956980107"
"378,3508759194045"
"385,5247104127118"
"392,69658681443826"
"399,8150160634944"
"406,9635179571224"
"414,04458928412265"
"421,1555209846971"
"428,26231015364266"
"435,3274317988111"
"442,41854631062"
"441,76589737113113"
"441,089347877359"
"440,4508697645531"
"439,71494260589543"
"439,12706061990036"
"438,5356042385499"
"438,0051989771248"
"437,4727217772792"
"436,9389201481426"
"436,3912330092692"
"435,8164951612935"
"435,2900093201625"
"434,7447009755872"
"434,22894235702694"
"433,7121825462118"
"433,23004763976115"
"432,72754656401963"
"432,24833414312025"
"431,73806092920313"
"433,002988813717"
"434,2235052748413"
"435,39923886225523"
"436,5379986745341"
"437,66545448770637"
"436,91990853606575"
"436,1298349841156"
"435,380856213095"
"434,58040916624753"
"433,77609655831566"
"433,00116965233656"
"432,28258905882547"
"431,53451868049956"
"430,9378934477308"
"430,3050151633756"
"429,72280916216033"
"429,13563526021244"
"428,60087350562145"
"428,1119328954914"
"427,61387621504866"
"427,16798072454424"
"426,6890060401913"
"426,2670789753021"
"425,83518051225946"
"425,4238472669958"
"425,0005936805757"
"424,6296909453784"
"424,2503563368182"
"425,537018243297"
"426,80854413817383"
"428,1174386981935"
"429,41984517477135"
"430,76900289430364"
"432,0457933532373"
"433,3646668703152"
"434,647818134633"
"435,9059314924382"
"437,20850604889813"
"438,50326692159763"
"439,83093546672086"
"441,2061511643797"
"442,5450065487861"
"443,9733100438296"
"445,3866240016504"
"445,1779111696693"
"444,9505666613863"
"444,7138404483124"
"444,43743152242257"
"444,1222782590508"
"443,8474481286855"
"443,55923573746907"
"443,2559845574221"
"442,9505426125439"
"442,62060971622145"
"442,2566972532274"
"441,91619549220684"
"441,5070236055198"
"442,68875826894947"
"443,8514356727837"
"445,057252489505"
"446,257467651436"
"447,3814940068021"
"448,4918456673028"
"449,6471570050182"
"450,82426518950155"
"451,95910336754594"
"453,12229658590275"
"452,5854825862124"
"452,098494846983"
"451,5795721791709"
"451,110982101302"
"450,6399302272552"
"452,2409109765719"
"453,8246176985734"
"455,4502601927431"
"457,0421241781333"
"458,6624396946039"
"460,2740356746347"
"461,9206003869971"
"463,59971800595576"
"465,2722059016084"
"466,9800943538729"
"468,6735822230959"
"470,3329488999704"
"472,0120655818301"
"473,6288938779364"
"475,3877809368753"
"477,13962411091075"
"478,77474291823165"
"480,37965136777024"
"482,01852077181235"
"483,5885058547735"
"485,13553262880583"
"486,6809114937123"
"488,1955000911842"
"489,7432469110596"
"491,2626180603308"
"492,8078387017093"
"494,31895268082576"
"494,28077506145337"
"494,2236727895358"
"495,6586965962139"
"497,08176980476793"
"498,49875080754504"
"499,89069251944926"
"501,3258428635647"
